,T98G,RD,A-673,L-1236,786-0,A498,A549,ACHN,BT-549,CAKI-1,CCRF-CEM,COLO 205,DU-145,EKVX,HCC-2998,HCT-15,HCT116,HOP-62,HOP-92,HS 578T,HT29,IGROV1,K-562,KM12,LOX IMVI,M14,MCF7,MDA-MB-231,MDA-MB-468,MOLT-4,NCI-H226,NCI-H322M,NCI-H522,NCIH23,OVCAR-4,OVCAR-5,OVCAR-8,OVCAR3,PC-3,RPMI-8226,RXF 393,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SN12C,SNB-75,SR,SW-620,T-47D,TK-10,U251,UACC-257,UACC62,UO-31,TC-71,HDLM-2,L-428,A2780,A375,A427,ES2,HT144,LOVO,MDAMB436,NCIH1650,NCIH2122,NCIH520,OCUBM,OV90,PA1,RKO,RPMI7951,SKMES1,SW837,UWB1289,VCAP,A2058
PSME1,9.626926923,9.965173201,10.0997713,10.25508665,11.01916087,9.590806081,9.902617039,10.1917154,9.622741811,9.665835902,10.97018552,9.697016149,9.498765247,9.874750853,10.14037297,10.65497746,9.93595647,9.978867939,10.88658915,9.025685936,10.17679981,10.09774723,8.806222245,10.02309639,10.09637775,8.666349201,10.05155683,10.21363219,9.867351539,11.06759768,10.43466326,10.4948824,9.14209871,9.168751469,10.12104822,11.10525168,10.22462609,10.35818152,10.21605449,10.43815429,10.22811596,8.955868076,10.36241227,9.936420399,9.642730047,9.06136612,8.775463166,9.544306563,9.884195503,9.432358794,10.74510446,9.800881475,10.2055599,9.879093886,10.13004644,8.882394745,9.268121106,10.20267435,9.569616606,11.24885414,11.07423141,9.991259582,9.655204182,9.894979238,9.863123538,9.91781954,9.904796255,10.97310566,9.612255022,9.996780712,9.964818253,9.263626245,9.412461647,9.510182468,10.13596363,10.36525207,9.945166629,10.98159933,10.15712291,9.545056667,9.580042488
CISD1,4.629682722,5.01780516,5.136151439,4.842413919,4.665033589,5.304322157,5.13371269,5.460133083,5.521360413,5.008259563,5.034810127,5.334943031,5.378491959,5.198354164,5.91928611,5.070155666,5.037166245,4.996930567,5.594241828,4.521054432,4.766565779,5.329610733,5.302804878,5.666584462,5.289920353,5.788401177,5.016284878,5.851858123,4.760084234,4.718679986,4.796286978,4.706047398,4.974919965,4.723763725,6.14180606,4.869265267,4.833752674,5.2972442,6.241445637,5.189427036,4.982208163,4.767289766,4.78926243,4.670723547,4.811171611,4.735069755,4.671465255,4.800417174,4.923977763,4.714682556,5.553765506,5.49486511,5.781862993,5.719184837,4.772807501,4.571246671,4.655129942,4.593786953,5.520073928,5.628209693,5.626125273,5.357614616,4.5977462,7.439369428,5.889402773,4.137811701,4.755038358,5.814052296,4.546877794,5.781082514,5.6420932,5.256482935,4.94425987,5.74275744,5.152729056,4.47450553,5.373538718,4.693912722,5.133188268,4.532765958,5.341071116
SPDEF,3.711061049,3.647139691,3.426461496,3.56710097,3.486798189,3.41967248,5.413826218,3.745671715,3.507609089,3.522412687,3.866711088,4.545431492,3.992943494,5.418015358,3.532354902,3.498954486,3.751991716,3.538229961,3.90767631,3.460463655,5.821771633,3.757280822,4.075847836,3.969375304,3.550507005,3.414056969,7.52987972,3.66782202,7.016406067,3.630240071,3.665688039,3.936840788,3.684521146,3.594802679,3.626894473,3.77505146,3.717984432,3.569168015,8.051723406,3.776200261,3.634813328,3.670492591,3.665017826,3.491135203,3.902722802,3.76668528,3.493388695,4.013670211,3.60429853,3.597753043,3.611114593,4.322693516,8.176066844,3.74600945,3.476717675,3.513892614,3.487958214,3.554037662,3.662262477,3.465190888,3.853292518,3.360042326,3.370823313,3.409718029,3.608861488,3.723500585,4.398036307,3.562155974,3.433647646,4.944711853,3.602640592,9.636210905,4.42686451,3.298414611,3.617865853,3.435303638,3.703971531,3.66554617,3.779196379,8.535436056,3.619220242
ATF1,6.508164882,5.774312893,6.417007841,7.073410045,5.495467561,5.705776391,6.529459572,6.899597613,6.268398277,6.053872393,6.69066508,7.019751079,6.730934774,6.120372209,7.183046689,6.240594754,6.609338494,6.444385698,6.315738837,5.645201134,6.304881365,6.347810673,6.870737039,6.539689322,7.198222326,6.509628268,7.647628192,6.195220344,6.257297262,6.541911054,7.336907634,5.956612284,6.001912187,7.0508842,7.250774293,5.864732378,6.058646088,6.466960887,6.27049433,6.758046834,5.797913574,6.271837633,6.150453429,6.537689618,5.898993825,5.399090026,5.999484693,6.745884979,7.099470917,6.483226444,6.185600749,6.816727575,6.534375567,6.456660984,6.871051779,5.987437068,5.944959014,6.246479124,6.646101308,6.557204456,7.167129067,6.609057092,6.513911731,7.415306674,6.889832801,6.224719248,7.735986332,6.032638958,6.620252186,6.608974745,6.65375278,5.419172113,6.939917665,6.023278424,6.944434508,5.908319419,5.525323232,6.45961467,6.833754661,6.491363213,6.314057379
RHEB,6.789912561,6.443504037,7.134506557,4.893052541,6.174309056,7.187329871,6.131564444,7.043346078,7.078920636,7.430572294,6.162387564,5.549341041,7.386444951,6.206743744,6.25538591,5.920130679,5.51040906,6.709998604,7.981870568,6.502347958,7.305143674,6.302300129,6.449791143,6.107604217,5.46810635,7.379602254,6.646969142,7.463261281,6.942511097,6.145182387,7.244204343,4.882469736,6.671508166,7.103135593,7.391494867,7.016480784,6.351010443,6.304566946,6.614150367,6.175702514,7.737971396,7.204436965,6.567423066,6.706573473,7.322910519,5.733404194,7.15797349,6.077587918,7.295863136,6.842096663,6.333063742,6.746470167,5.42147645,7.29508603,6.688843537,7.532444589,6.30563312,6.418198292,5.995898757,4.958352842,4.938045872,6.400431002,5.910826243,5.921603432,6.767868965,6.734466272,6.94484304,7.22223232,5.954181199,6.324631386,6.32586722,5.890804051,7.092426573,6.602858501,6.676600079,5.978498198,6.634530103,5.735443818,6.302462108,6.269791719,6.481991207
IGF1R,3.88247037,4.45022328,4.406446941,3.527525934,3.997575979,3.466086727,5.520734247,4.799975712,3.741050791,4.500483384,3.515662397,5.504219349,4.085082247,4.823152908,4.489209956,3.903236326,3.271744778,4.656686012,3.802967278,4.539310087,4.486403554,3.348747885,3.390663758,4.342175536,4.211260039,4.811881754,5.755060257,3.606814787,3.413255518,3.956876321,6.107302864,4.621154996,4.623865211,5.474264881,4.104779608,5.008583704,4.45400694,3.42150637,3.454899489,4.647987297,4.608278572,4.049105513,3.764011711,3.439063582,4.760592244,5.412487816,4.920328235,4.008942796,3.537365324,4.149274089,4.59557243,4.05379704,4.610442874,4.597858847,4.948861978,5.31421947,4.167154942,4.097728825,4.230859966,3.067996081,3.818209698,3.422279741,5.541896764,3.566287655,4.170520089,5.12898309,4.388959871,3.273326699,3.932075019,5.107897271,3.115281305,3.338403878,5.408891005,5.14725015,4.070517656,4.029045183,3.525299461,4.745766301,4.255239363,6.231489611,4.374877762
FOXO3,7.670381573,8.594285231,6.843850166,8.689244065,8.576885809,8.007774209,6.17184897,7.772749245,8.450232729,7.72503459,7.281965803,7.440630013,6.857300812,8.19433847,7.825568385,8.057977488,8.365452022,6.63039214,7.752752316,8.571065593,8.740577783,7.554709458,6.868379101,7.435698388,7.447661681,6.557172647,8.133067838,7.444125934,8.825367838,7.610410983,7.101258821,7.435047448,7.045489312,6.757255389,8.339859087,7.62096012,7.434631691,8.04915381,6.786300472,10.29511742,8.58602609,7.489301657,8.007964097,8.31184082,7.817872524,7.737331958,7.989695689,7.999348506,6.955135706,8.520441263,5.099188466,7.668956265,8.132177092,7.95745822,7.968365103,7.139573139,7.511050566,8.294414498,7.220617012,7.909100971,6.960059081,7.068179461,7.469255258,7.118423536,7.529793935,7.253369881,8.494564148,8.165352406,6.918196543,6.485874158,6.349991267,9.147759745,6.334950251,7.071767645,7.960005764,8.498573703,7.697805501,8.166390551,8.0860891,9.651082267,7.551489287
RHOA,10.64702219,10.20688234,9.736698956,10.70682327,10.38637085,9.993682088,10.19312607,10.29720853,10.55673305,10.44699109,10.53293222,9.777544197,10.57872872,9.635588638,10.72239279,10.75299465,10.75661954,10.57730412,10.28157047,11.13102823,10.10778002,10.37716574,10.05625843,10.62497285,10.3325133,10.48659343,10.01526673,10.77405866,10.41231616,10.42796642,11.00824474,9.470824174,9.930127838,10.35491152,8.442625919,10.2806138,11.45783837,10.38127015,10.93381039,10.22549968,10.26459443,10.88000113,10.55437113,10.62330725,11.09788995,10.34965621,10.46319363,9.971631028,11.26569299,10.95481132,10.1540087,10.25317026,9.882348969,10.65298514,10.10203204,10.00073512,10.09976663,10.9968547,10.53196144,10.58040779,10.79020874,10.75566819,10.23350406,10.29399615,10.61708626,10.31624673,10.18338059,10.18974574,10.55894428,10.47172983,9.607392949,9.823357343,10.10230763,10.72416247,10.62338718,10.71242346,9.789342272,9.525494206,10.54625131,10.23789622,10.28704687
IL1B,4.793283286,3.365902062,3.194725359,3.191968879,3.538022202,3.97022014,3.301253586,3.169926357,3.133952606,3.243391849,3.297155508,3.360697287,2.838403214,3.155112726,3.147151647,3.723339791,2.852080283,7.252741143,7.674055711,7.490058545,3.483192242,3.050866497,3.108283673,3.309851568,12.08474814,2.958838951,3.128194574,9.899957479,3.18606448,2.919692341,7.015602114,3.757393981,3.371997073,3.37745309,3.412985543,3.943251386,6.127637442,3.111641954,6.930488063,2.987255411,3.41789291,5.757207409,9.506650901,3.374652849,3.413650117,3.628522552,7.806660443,3.79875492,3.044749228,3.252638071,3.049040648,3.284544228,2.941572072,3.200388777,3.15741431,3.02384586,4.236691068,4.814514286,3.105289439,2.769441457,3.542347137,3.022178071,3.783308432,3.374497917,9.979309229,3.148195201,3.454597677,11.22811482,3.043041091,9.16229359,3.456997531,2.917666526,3.145425436,3.037114826,3.151617523,11.14399166,5.964898472,4.023951734,5.926269753,3.273885424,2.858332218
ASAH1,7.536555944,8.803890629,6.683098768,9.289695109,7.381698911,6.97745764,9.019313037,9.426373563,7.916303379,8.441847179,6.371535215,8.710670416,8.169286205,9.254778735,8.871048196,8.114607195,8.271038097,8.247806936,7.812182839,7.666365199,7.357197416,8.260994933,8.078970368,8.646078541,6.510482099,9.247467135,7.860662262,6.538757733,7.831985844,6.734514031,7.619840255,8.782680292,5.93509006,6.614368365,8.048105052,7.431211518,8.496870665,9.824318867,7.574473496,7.817230567,8.787401923,7.221549968,7.703139646,9.105869982,10.75917349,11.1854464,10.00279879,9.312059995,7.795523138,8.509566388,6.679069181,7.828547693,8.637337519,6.857844922,7.67510739,10.63585262,8.50132279,8.079065855,7.46355639,6.417685151,7.301385039,8.669063149,7.188441201,8.343693872,7.676299832,10.06318399,7.097960696,8.005688021,7.729840771,8.778853664,7.607393042,8.536097842,7.89532519,7.541056091,8.73401749,8.462384646,7.525163183,7.689581723,7.808443802,8.64707983,10.38525718
